experiment,resolution,model_complexity,frame_skip,fps,processing_time_ms,accuracy_impact,optimization_gain
Low_Lite_Skip1,640x480,Lite,1,8.326515508549644,74.38873291015625,1.0,0.0
Low_Lite_Skip2,640x480,Lite,2,8.961676376083828,44.66752052307129,1.0,0.0
Low_Lite_Skip3,640x480,Lite,3,5.302638247436936,48.22474718093872,1.0,0.0
Low_Full_Skip1,640x480,Full,1,11.100758682127909,54.038472175598145,1.0,0.0
Low_Full_Skip2,640x480,Full,2,8.906158402107222,52.66413688659668,1.0,0.0
Low_Full_Skip3,640x480,Full,3,5.280723396597382,77.43602991104126,1.0,0.0
Low_Heavy_Skip1,640x480,Heavy,1,6.0989577674441975,128.9923334121704,1.0,0.0
Low_Heavy_Skip2,640x480,Heavy,2,5.245681193757466,121.40265464782715,1.0,0.0
Low_Heavy_Skip3,640x480,Heavy,3,4.382451117472118,110.37597060203552,1.0,0.0
High_Lite_Skip1,1280x720,Lite,1,8.884347105643329,70.8851671218872,1.0,0.0
High_Lite_Skip2,1280x720,Lite,2,6.330570824565157,72.20403671264648,1.0,0.0
High_Lite_Skip3,1280x720,Lite,3,5.835363615131126,41.05573892593384,1.0,0.0
High_Full_Skip1,1280x720,Full,1,10.589667939758499,58.33061695098877,1.0,0.0
High_Full_Skip2,1280x720,Full,2,7.359463559609615,62.50531196594238,1.0,-30.503358542728293
High_Full_Skip3,1280x720,Full,3,5.889730202610675,60.19124388694763,1.0,-44.38229568560965
High_Heavy_Skip1,1280x720,Heavy,1,5.950849939409018,133.4609031677246,1.0,-43.80513182035877
High_Heavy_Skip2,1280x720,Heavy,2,4.729381919320563,128.4292507171631,1.0,-55.3396579928226
High_Heavy_Skip3,1280x720,Heavy,3,4.169822710254178,125.66633522510529,1.0,-60.623668900903496
